epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,14983.6,0.9385,0.54265,1.11747,0.95395,0.94118,0.9729,0.65812,1.19575,0.56309,1.27308,0.0005677,0.0005677,0.0005677
133,15097.1,0.9264,0.53479,1.11182,0.95258,0.94276,0.96908,0.65424,1.20185,0.56158,1.28225,0.0005644,0.0005644,0.0005644
134,15210.7,0.93331,0.54357,1.1171,0.95525,0.94481,0.97423,0.6618,1.17933,0.54766,1.26833,0.0005611,0.0005611,0.0005611
135,15324.2,0.92335,0.53221,1.11434,0.94954,0.94551,0.96878,0.6596,1.17579,0.55133,1.25011,0.0005578,0.0005578,0.0005578
136,15437.5,0.93201,0.53548,1.11576,0.94095,0.94207,0.96758,0.64683,1.20367,0.57169,1.27692,0.0005545,0.0005545,0.0005545
137,15550.8,0.91875,0.53128,1.11504,0.95088,0.94456,0.9732,0.65718,1.19846,0.55229,1.2725,0.0005512,0.0005512,0.0005512
138,15664.3,0.90882,0.52886,1.10868,0.93837,0.95435,0.97096,0.65764,1.19243,0.54634,1.27556,0.0005479,0.0005479,0.0005479
139,15777.8,0.90954,0.52044,1.09792,0.94376,0.96232,0.97449,0.65801,1.20027,0.54135,1.27255,0.0005446,0.0005446,0.0005446
140,15891.2,0.92008,0.5318,1.09673,0.95003,0.94536,0.97546,0.66427,1.19346,0.54736,1.26826,0.0005413,0.0005413,0.0005413
141,16004.7,0.91971,0.53153,1.09832,0.96354,0.94801,0.97627,0.66292,1.17792,0.52969,1.25366,0.000538,0.000538,0.000538
142,16118,0.92707,0.5313,1.11855,0.95439,0.94839,0.97275,0.64795,1.22542,0.54925,1.30701,0.0005347,0.0005347,0.0005347
143,16231.3,0.92831,0.53241,1.11416,0.95931,0.93811,0.97062,0.64322,1.2214,0.55532,1.29818,0.0005314,0.0005314,0.0005314
144,16344.7,0.92776,0.52472,1.11592,0.94171,0.9599,0.97473,0.65655,1.20315,0.54431,1.27182,0.0005281,0.0005281,0.0005281
145,16458.1,0.92015,0.53314,1.11145,0.96555,0.94947,0.97737,0.66365,1.19006,0.54152,1.26765,0.0005248,0.0005248,0.0005248
146,16571.2,0.92083,0.5186,1.11161,0.94686,0.9609,0.97585,0.66628,1.1878,0.53749,1.26743,0.0005215,0.0005215,0.0005215
147,16684.5,0.89004,0.5078,1.08757,0.95295,0.95037,0.97241,0.65484,1.20012,0.55472,1.27257,0.0005182,0.0005182,0.0005182
148,16797.7,0.90755,0.52177,1.09567,0.96238,0.94677,0.97697,0.66269,1.18944,0.53469,1.27212,0.0005149,0.0005149,0.0005149
149,16911,0.90341,0.51457,1.09261,0.94689,0.95401,0.97597,0.66614,1.18781,0.5368,1.26126,0.0005116,0.0005116,0.0005116
150,17024.6,0.89578,0.51681,1.09402,0.96357,0.94619,0.97586,0.65469,1.20349,0.53996,1.27719,0.0005083,0.0005083,0.0005083
151,17138.1,0.90419,0.51565,1.09771,0.95754,0.95419,0.97795,0.66117,1.19824,0.52525,1.28568,0.000505,0.000505,0.000505
152,17251.6,0.89577,0.51187,1.09295,0.95024,0.95987,0.9768,0.66549,1.19754,0.53459,1.27699,0.0005017,0.0005017,0.0005017
153,17364.8,0.89835,0.51138,1.0888,0.96139,0.94784,0.97415,0.66364,1.18879,0.53731,1.26009,0.0004984,0.0004984,0.0004984
154,17478.4,0.88312,0.50451,1.08384,0.95371,0.9629,0.97763,0.66891,1.17423,0.5339,1.26108,0.0004951,0.0004951,0.0004951
155,17591.6,0.88817,0.50211,1.09059,0.94922,0.96027,0.97607,0.65874,1.19338,0.54055,1.27461,0.0004918,0.0004918,0.0004918
156,17704.6,0.88626,0.5033,1.08806,0.9568,0.9611,0.97763,0.65943,1.19463,0.52959,1.27425,0.0004885,0.0004885,0.0004885
157,17818.2,0.90195,0.51496,1.09674,0.95071,0.96106,0.97728,0.66842,1.18083,0.53257,1.25918,0.0004852,0.0004852,0.0004852
158,17931.4,0.88938,0.51246,1.09297,0.94929,0.95531,0.97324,0.66063,1.19123,0.53756,1.2803,0.0004819,0.0004819,0.0004819
159,18044.6,0.90466,0.51121,1.09502,0.95307,0.95589,0.97588,0.6635,1.18073,0.5307,1.26497,0.0004786,0.0004786,0.0004786
160,18158.1,0.88873,0.49749,1.08336,0.95537,0.95547,0.97599,0.66836,1.18511,0.52532,1.25853,0.0004753,0.0004753,0.0004753
161,18271.5,0.87405,0.49555,1.07835,0.95454,0.95508,0.97555,0.67059,1.16895,0.52732,1.24487,0.000472,0.000472,0.000472
162,18385,0.88801,0.50757,1.0858,0.94909,0.95371,0.9768,0.6679,1.168,0.52743,1.23772,0.0004687,0.0004687,0.0004687
163,18498.1,0.87884,0.4966,1.07771,0.95639,0.94966,0.97316,0.65898,1.19177,0.5378,1.275,0.0004654,0.0004654,0.0004654
164,18611.3,0.87524,0.49509,1.08855,0.96023,0.94395,0.97656,0.67207,1.17593,0.53077,1.25963,0.0004621,0.0004621,0.0004621
165,18724.7,0.88071,0.49493,1.07836,0.95796,0.94769,0.97399,0.6699,1.1851,0.53503,1.2632,0.0004588,0.0004588,0.0004588
166,18838.1,0.86722,0.4953,1.06772,0.94468,0.95309,0.97251,0.66173,1.18128,0.53285,1.261,0.0004555,0.0004555,0.0004555
167,18951.6,0.88084,0.5024,1.08174,0.94879,0.95686,0.97309,0.6617,1.19479,0.53362,1.27567,0.0004522,0.0004522,0.0004522
168,19064.8,0.86936,0.49266,1.07754,0.95247,0.95087,0.97565,0.65729,1.20455,0.54584,1.2952,0.0004489,0.0004489,0.0004489
169,19178,0.87775,0.49425,1.07697,0.95754,0.94589,0.97462,0.66234,1.18492,0.53809,1.26743,0.0004456,0.0004456,0.0004456
170,19291.3,0.86146,0.49083,1.07051,0.95079,0.95656,0.97601,0.67136,1.16447,0.52873,1.25444,0.0004423,0.0004423,0.0004423
171,19404.6,0.88112,0.50032,1.0819,0.9622,0.94976,0.97865,0.67038,1.17156,0.5274,1.25445,0.000439,0.000439,0.000439
172,19517.9,0.85112,0.4836,1.07065,0.95012,0.95266,0.97659,0.67249,1.17005,0.53044,1.25234,0.0004357,0.0004357,0.0004357
173,19631.4,0.86908,0.48956,1.07057,0.96151,0.94617,0.97539,0.6694,1.16845,0.53286,1.24963,0.0004324,0.0004324,0.0004324
174,19745,0.85751,0.48793,1.07285,0.94969,0.95988,0.97767,0.6671,1.18133,0.52874,1.25941,0.0004291,0.0004291,0.0004291
175,19858.1,0.8688,0.4885,1.07246,0.95856,0.95429,0.97734,0.66591,1.17902,0.53477,1.26477,0.0004258,0.0004258,0.0004258
176,19971.3,0.87344,0.49484,1.07328,0.95382,0.95394,0.97622,0.66037,1.18482,0.53316,1.281,0.0004225,0.0004225,0.0004225
177,20084.7,0.86645,0.49281,1.07917,0.95773,0.95025,0.97783,0.66287,1.18402,0.53316,1.2792,0.0004192,0.0004192,0.0004192
178,20198,0.86087,0.48513,1.06967,0.95022,0.95499,0.9786,0.67029,1.17576,0.52772,1.26487,0.0004159,0.0004159,0.0004159
179,20311.6,0.86138,0.48879,1.06773,0.96236,0.94128,0.97577,0.66509,1.18422,0.53543,1.27625,0.0004126,0.0004126,0.0004126
180,20425,0.86193,0.48636,1.06684,0.96711,0.94507,0.97759,0.67156,1.17469,0.52803,1.26534,0.0004093,0.0004093,0.0004093
181,20538,0.85683,0.4802,1.06664,0.95897,0.95444,0.97672,0.66668,1.18116,0.51824,1.27243,0.000406,0.000406,0.000406
